x,y
3.574479594631090884e-01,-8.409984644704534551e-01
7.209536279912912016e-02,2.837123274481704316e-01
1.935784404466800446e-01,-2.926943193679163446e-01
-1.216582733168925179e+00,1.304423941261421138e+00
-1.335033612862755570e+00,-1.212226646135735386e+00
-1.206758207871878819e+00,-1.557840526524303604e+00
1.254800450986990557e+00,1.386122005489556219e+00
-1.299471140355660248e+00,-9.964371282907748262e-02
-3.592243555901540875e-01,-1.258216104161844040e+00
1.277942801708986664e+00,1.290646184101796212e+00
8.485957476357464113e-01,-1.118627386627534692e+00
-8.093507360164856612e-01,-1.029723084541470435e+00
1.167025558895564030e+00,-7.874664750539031588e-02
-1.202595644456824209e+00,-1.659100000038106648e+00
-7.576482333474445774e-01,1.670820325134410700e+00
-1.615199790800337487e+00,1.454317707541105120e+00
-1.523998228898381768e+00,6.264232392420112649e-01
-5.103181935061491536e-01,-1.206115081394101840e-01
-9.569810905775424370e-01,-5.246520011256393667e-01
-6.548214191012954322e-01,7.546758240307319676e-01
1.301780412422457678e+00,-2.801304065082451666e-01
1.110575337095549342e+00,-1.654077442168170320e+00
1.011473416257094193e+00,1.227517640592925702e-01
1.171404519479046780e+00,-9.201008667234668037e-01
-4.163495789844536277e-01,7.160180627377152884e-01
1.222448683846473427e+00,-4.179426715879838716e-02
1.215290184155561226e+00,2.000055977685809006e-01
1.719116963012851773e+00,1.431035533548979277e+00
-3.854794556652343385e-01,1.606407635844094184e+00
9.338001276766663139e-01,1.211936358274203346e-01
1.717977971800464632e+00,7.066046415816110704e-01
-1.049163666900897018e+00,-1.300070446752673359e+00
-8.146105612296221654e-01,8.465629113607946454e-01
1.871680617104408972e-01,-3.221509725354225750e-01
9.097840249627334730e-01,-1.611804940849029588e+00
1.101381986056562123e+00,8.906576861299025927e-01
-1.099209627965154423e+00,-3.502269355217826896e-01
-1.594668438398444410e+00,-1.653253633049215798e+00
1.736130583707983011e+00,-7.667000863717454533e-03
-4.327422740060971607e-01,-1.016362889862651997e+00
1.079205437979368520e+00,7.438037049310681770e-01
-1.719899805522237868e+00,9.699603917265786635e-01
-1.337970551224792359e+00,1.582746891431072056e+00
-5.692470277742828211e-01,-1.357947397371989107e-01
-1.708000986647590924e+00,1.153603646018353190e+00
-6.546055978729826696e-01,2.280793131168057375e-01
1.494079009140949488e+00,-1.154355081759272039e+00
1.288146959714398188e+00,3.392878446796697423e-02
1.486627722031402365e+00,1.146565343111282775e+00
-1.862149993905750922e-01,-1.387546688928196215e+00
-1.620388502870573122e+00,1.325751863826043930e+00
-7.744917008576476802e-02,5.985298240067677966e-01
1.337896262614951981e+00,-6.416331560833189451e-01
1.386936102275178495e+00,-1.598869117504523762e+00
-7.527317200095494654e-01,1.109990567591081501e+00
1.239125567664469019e+00,1.569630509891109860e+00
-6.725230368377508317e-01,1.001078503747751647e+00
1.697434167555131435e+00,1.263862392108789090e-01
-8.476850635080072083e-01,-1.559388641052984248e+00
9.140351046381136602e-01,-1.214377797040582907e+00
-3.809116599265846004e-01,-6.256788285806701433e-01
-2.769989488185368165e-01,1.435483858034601434e+00
-2.453919873848448285e-01,1.458783179651986117e+00
1.072981441113913137e+00,-6.978689536030910912e-01
-6.201368511874264522e-01,-4.164737520861125919e-01
3.789564633278477701e-01,6.343410744969015802e-01
1.652612731386677414e+00,1.506352837232388220e+00
4.005829956542283354e-01,-1.534254661437330913e+00
1.693124053082575853e-01,-2.997373977896358177e-01
1.674748104498631207e-01,-1.555195106233493885e+00
1.734373701875145724e+00,-1.497227614246608107e+00
-7.779063645863227849e-01,-1.444843194187656943e+00
1.773156453276345246e-01,-4.787379647238377833e-01
-4.213633262784641231e-01,1.031930724709890779e+00
1.415624595160356325e+00,-1.121628417073674333e+00
-7.560280216174065648e-01,-6.109588373767591701e-02
-1.333110120398538267e+00,-3.588107076483441071e-01
-6.757307000538442798e-01,1.490671952835908032e+00
-1.035518889741958937e+00,7.972002593492411027e-01
-9.752064008649335980e-01,4.671460453872524621e-01
2.967643479154015718e-01,-1.094688952251910985e-01
1.112959472877508960e+00,-9.246722021495107358e-01
-6.704226445404976031e-02,1.699444989552152174e+00
-1.088581140798814406e+00,1.900338782345250277e-01
-7.069387096867946196e-01,-1.266325842288155590e+00
1.233471539704306785e+00,3.014176513733328178e-01
2.857801420141118931e-01,1.896963473237417153e-01
-1.084389906132873227e+00,2.701725531163386984e-01
-1.407784293056526082e+00,6.639754253844146747e-01
-1.546523666707473987e+00,-1.040614381413302425e+00
-7.030751243502680881e-01,-7.305006793488658667e-01
1.096264914893018361e+00,-7.000370786392944300e-01
-1.468347022404280056e+00,-1.459147976962426485e+00
-1.206183710971650225e+00,-3.323732906248092478e-01
-1.041494471266234623e+00,-8.821683479846029741e-01
-1.086100881070518165e+00,-6.620941238765285508e-01
2.877660698420980712e-02,1.661205747951427725e+00
1.026388229474132663e+00,-1.098058281134869585e+00
1.064121122293403277e+00,7.587957767354718275e-01
1.421803108396707094e+00,-1.924290850261184682e-01
1.287344614283927546e+00,7.173364143973066653e-01
-7.764726802654934312e-01,-3.476259488546213361e-01
1.187906844092085690e+00,1.095987055767732921e+00
-8.723196901955528881e-01,1.194643069701117444e+00
1.560635650555743936e+00,1.337974878382917732e+00
-4.005579518161868080e-01,1.752823916191124654e-01
1.213902519004499636e+00,7.805824579681306385e-01
7.384104963878261874e-01,-7.086696268388231745e-01
3.968659686791395358e-01,-1.505853499993871969e+00
-6.928965013138759232e-01,-9.935075853003646484e-01
-3.806616144731032048e-01,8.559835899176883034e-01
-8.200814847446588063e-01,-1.075971122915466927e+00
1.200265597356704239e+00,1.466913038267439573e+00
-1.749698621218829797e-01,-8.494388769146159479e-01
-8.484855239652361325e-01,-2.564235413660673757e-01
1.062704424120067381e+00,2.454702706080349184e-01
2.805917564120609664e-01,1.684729334449994953e+00
-1.455431638050166399e+00,-5.320394060748553228e-02
-5.966933180296361827e-02,2.195375506080653460e-01
-1.141814404732488963e+00,-1.110488220771130186e+00
-2.818704526110517028e-01,3.999935426007030781e-01
-6.732483097788081183e-01,2.453444744699650321e-02
1.703086924758779652e+00,-1.588857001950286563e+00
-1.066954245508115046e-01,-5.703353991244096421e-02
6.783083372046740944e-01,-7.737849541256266450e-01
1.053987595376722153e+00,-3.088798394534799652e-01
-1.394674052152897747e+00,4.823516178099897522e-01
-1.633606215083266644e+00,7.819702172451910016e-01
-1.683126364910977557e+00,3.670166110104139956e-01
1.300524060939159732e+00,7.184354368306994365e-01
4.439158802335020915e-01,-2.025000256603967375e-01
-5.572275594951019428e-01,-4.149149079936385598e-01
-4.223133078421342779e-01,1.363259432475305011e-01
-1.227320034444579155e+00,1.352179978447253683e+00
4.492379362945723709e-01,-4.006122960406248157e-01
1.687295374856548680e+00,1.319868507087102794e+00
3.830180345617468229e-01,-4.098950041689172763e-01
-4.429254328960123832e-01,-1.463555355875573394e+00
-5.352503761424081130e-01,-8.453406810034207464e-01
3.890458920776248553e-01,7.935806150627356947e-01
-7.093046842045349631e-01,1.925037476116440716e-01
1.009326129938464600e+00,5.232601605229734165e-01
8.584733007566759388e-01,-9.406908337424115807e-01
4.811133317450499991e-01,-7.482788464228059544e-01
-9.235858594419152912e-01,-7.581129213181835302e-01
-4.518488996526652257e-01,-6.727260276975714770e-02
-9.287597535208397259e-01,-4.851447216962816444e-01
1.389485261228180280e+00,-1.228949038149011797e+00
-9.757940920296213072e-01,-1.484328713783505505e+00
7.376328886805501028e-01,1.346924228517950572e-01
-7.732609543939245045e-02,-1.575095131695587014e+00
1.614786301847513483e+00,1.221597419375853866e+00
1.125004557884736300e+00,1.329159952607813722e+00
9.743927949111876874e-01,-1.212332309896434257e+00
1.650050689324812359e+00,1.531231021140203374e+00
6.931465538273061666e-01,-6.853223004038124788e-01
-1.721446226473596575e+00,-1.573205041295105272e-02
3.412810005044701889e-01,1.739387789022726283e+00
-1.263506106831661091e+00,-1.387172512268604718e+00
-2.441041064290982443e-01,8.999432667341035197e-01
-5.437648944257564843e-01,5.939197280803405476e-01
1.364961775194983851e+00,1.045728213753626568e+00
-1.372321591370341931e+00,-1.531602868481268809e-01
-1.593304829059453809e+00,-1.111468590575742210e+00
9.524549399712602948e-01,-1.092626881733091304e+00
2.162391982889427799e-01,4.302561221671488134e-01
-1.181088723332769597e+00,1.465960379595028451e+00
-1.522047603286091677e+00,1.481201559473112273e+00
-1.329921600559843986e+00,1.417767495944840528e+00
-4.471048946007708524e-01,1.034256294890999683e+00
-3.555657813685345059e-01,8.384603436603431659e-01
1.236243330753308722e+00,1.209731186089676308e-01
-3.281112765467718573e-01,-3.308509108192113080e-01
-1.528684009087384332e+00,-1.642794551047253693e+00
8.581565106868899173e-01,-2.591191729870773175e-01
-1.200349321075943276e+00,1.316447037513355012e+00
4.905700780880247747e-01,-5.496191150318261581e-02
-4.849965161372717382e-01,-5.031655921794857544e-01
-4.348424929589316257e-01,1.368319139312535571e+00
-4.098829062250922139e-01,-1.627248421552290436e+00
-1.221748443124149430e+00,-4.981159409955291384e-01
-1.147331885754855785e+00,1.148729060492976961e+00
1.744690609181918761e+00,-5.397218894866788741e-01
-3.957319383744265645e-02,-1.529490053050119869e+00
-1.049659737424955663e+00,-9.027614703300159693e-01
-3.790344125380930573e-01,1.160594568463294785e+00
-3.382888314151101805e-01,8.670334879117164162e-01
1.112282413348778809e-01,5.983719583671871511e-01
-1.040071557070469055e+00,-1.559908514185344153e+00
-8.682737864107752390e-01,-1.344297675220352151e+00
7.160466164926535537e-01,2.722186367646203808e-01
1.032287786940857766e+00,-3.033429327359725147e-01
-8.202515998088599769e-01,1.280191817202001925e+00
2.395749489227194662e-01,-6.050806738814357155e-02
1.371581774466675618e+00,-4.925743575962595044e-01
-3.046151524536522270e-01,-8.047186987254011381e-01
-1.264227106723549543e+00,2.779889875292024803e-01
1.475808281440802894e+00,5.470885917667426268e-01
5.812127591095294088e-01,1.271152329482768240e+00
7.071968280816698371e-01,-3.954165590517839668e-01
1.065769442347786589e+00,-1.265665023604902961e+00
1.302528649199041322e+00,6.468082396866547956e-02
1.710976625567944276e-01,1.493087318518568241e+00
6.465991895764107156e-01,-1.423964752703429149e+00
-8.466088949192519530e-01,7.611220582967014314e-01
-1.401766513714088447e+00,-7.914126923655607770e-01
-8.091511479075492730e-01,7.505594846552815502e-01
-1.545946491728706906e+00,-5.023545051219303614e-01
-2.439147902434029014e-01,-1.440806097844305134e+00
-1.326344489980668118e-01,1.415903972507763231e-01
1.647709365055763930e+00,1.323290338219267115e+00
1.507811215063386001e+00,-7.588290035241940235e-01
-1.203564981544475332e+00,5.114765222659665156e-01
-1.025127769141340073e+00,3.318253562236141430e-01
-1.045279483877114002e+00,-1.468953151585424388e+00
-1.655625591305300293e-01,5.044212211855859662e-01
-1.398244790665390536e+00,2.048369376038449152e-01
-2.075657169114879519e-01,-8.123271002845265931e-01
-1.128133431914682294e+00,-8.845738501451059221e-01
1.389884225884607805e+00,-1.583884988811280259e+00
-1.212885878875852974e+00,9.586489148298234231e-02
6.464637808439813726e-01,-2.766655401968249883e-01
-8.902064078657628832e-01,-7.463337576689574870e-01
5.309665858545047357e-01,7.684977430299982926e-01
1.645857818692788577e+00,7.360494547747130634e-01
-2.594018121576341929e-01,-8.458405404868388766e-01
1.322444948526061426e-01,8.156965043676227545e-01
-1.320218861220203044e+00,-1.487380445797069184e+00
-9.464903245987277280e-01,-2.458281775018848481e-01
5.927269132835892851e-01,-1.662386786165190866e+00
1.458554821674326318e-01,-6.892462178281076879e-01
-5.613274006473107924e-01,-1.975301273048153949e-01
-1.269946133086029549e-01,-3.061609848634861963e-01
-1.421667772695100584e+00,-1.144264388090290074e+00
-1.117681363969763413e-02,-3.587461122923021328e-01
1.737637801906406931e+00,9.644089922162847328e-01
2.997542115104777638e-01,1.983328242178389322e-01
-1.551600384952017464e+00,6.435602485470105494e-01
2.392262931319499297e-01,8.802496732257206191e-02
9.376319288980493605e-01,1.010594031376214952e+00
-9.724357590830765563e-01,-1.056164610114925573e+00
5.666415010560581500e-01,-5.513301446249805338e-01
-1.452200789960263194e-01,-1.540684393802440377e+00
-2.558458441262917438e-01,1.559314957681334102e+00
6.639319734315183297e-01,1.136377154047524707e+00
4.549678193841627527e-01,3.270804769514166210e-01
1.647835838826790633e+00,-2.426298503509139240e-03
1.020521771434466540e+00,-8.946426502773494605e-01
-1.371052474612677763e+00,-1.067640062108453192e+00
-5.360038142894809621e-01,-1.027037305251689708e-01
1.364783367540359560e+00,3.530457207936590902e-01
5.073805212574754586e-01,-3.642994696387388265e-01
6.012236424171047977e-01,-2.980941752426657931e-01
3.873712043164934671e-01,1.567965172957329623e-01
-6.555148917478613724e-01,-1.405194934307287591e+00
-1.299331091109715564e+00,2.918386245334142481e-01
-1.471288015565717311e+00,-1.290495040541611571e-01
1.398394406331603168e+00,3.185510252571960854e-01
1.668015194630800391e+00,-6.995874237272061702e-01
5.327552787271079282e-01,1.534810977768214846e+00
-5.113350729012996476e-01,1.490956433835640416e-01
1.218133748587582499e+00,-5.494913786204198569e-01
-1.694198459080867858e+00,1.726414685890332867e+00
-3.142726915825128642e-01,-1.315827443781889539e+00
8.319502374389774468e-01,-5.711668069546640414e-01
-1.140019897350457834e+00,-1.284686511723109881e+00
6.983460118461788380e-01,1.736903882542194744e+00
-3.636366590634237950e-01,9.440955121400045336e-01
5.477886313231240534e-01,-2.399071154260064564e-01
-1.555290378703737098e+00,-2.797422603586225964e-01
-1.623625851674082909e+00,1.595212784295132025e+00
-3.029265680171561170e-01,3.068107697738333139e-01
1.543186526109550760e+00,2.957037084139492733e-01
-1.126566320146083822e+00,1.593043354888901364e+00
-1.072327596303150887e+00,-1.251334552325964911e+00
-4.660038785591635868e-01,-1.919313337452674406e-01
1.670480446883945369e+00,2.198171205782215587e-01
1.074509282014917133e+00,9.622129393661839059e-01
-3.278101139503991623e-01,-1.436120754602748795e+00
-1.309311981440415495e+00,1.735021566726662856e+00
1.262490743881439226e+00,-4.998083890879146396e-01
1.168108625164029357e+00,1.414304376505703731e+00
1.482941103707431374e+00,1.329120287550243251e+00
-1.078303468292901801e+00,1.046775011133162625e+00
-1.532007642524135349e+00,1.091893084229164534e+00
2.791073217634626458e-01,8.446079385273655982e-01
1.845926308280184669e-01,3.699484590841248255e-01
-1.596679449913583460e+00,-1.585317322553203123e+00
1.096363292402141809e+00,-6.886186248782365515e-01
1.079281921706293002e+00,7.360367215031318189e-01
2.375498572439442846e-01,-1.331419682045652975e+00
-1.495848661819108028e+00,-3.676415563789484087e-01
1.489392378795297178e+00,-9.124233783773705309e-01
